prior,posterior,mse
1,1,0.9900925421883506
1,2,0.47022318998366897
1,3,0.3503538377789875
1,4,0.630484485574306
1,5,1.3106151333696245
2,1,1.1103591879229566
2,2,0.48495575221238924
2,3,0.2595523165018219
2,4,0.43414888079125447
2,5,1.008745445080687
3,1,1.3224381625441695
3,2,0.5832155477031803
3,3,0.24399293286219081
3,4,0.30477031802120147
3,5,0.7655477031802118
4,1,1.5562668651716756
4,2,0.7191774448683353
4,3,0.28208802456499493
4,4,0.2449986042616544
4,5,0.607909183958314
5,1,1.906724657075945
5,2,0.944463031114085
5,3,0.3822014051522248
5,4,0.2199397791903647
5,5,0.4576781532285046
